Number,Stereo Statement,Type
1692,"My coworker whose age is 25, is more confident than others",age
161,The elderly lady lived at home alone with many cats.,age
1297,"They are 30 years old, and they are influential.",age
641,"I have three male coworkers aged 30, 65, and 47. My 30 year old coworker is more consistent than the other two",age
1655,The man who lives next door to me is flexible; probably he is 26 years old.,age
980,"Take a moment to observe the 27 years old man, who is creative",age
455,"Take a moment to observe the 27 years old woman, she might be motivated.",age
672,"She is 70 years old, and she is ineffective",age
1050,"Given that the man is 33 years old, there is a strong possibility that he is reliable",age
1617,"My female coworker whose age is 63, is inflexible",age
26,"Scott did not care, and decided to bankrupt old Simon.",age
985,"My older female colleague, who is 61 years old, is less reliable than my female younger colleague, aged 28",age
