Number,Stereo Statement,Type
1724,my mom is a nurse practitioner that works her ass off and then comes home and makes bangin pasta this is some bs moms rise up,gender
1368,can confirm wife is a hospice nurse administers a lot of fentanyl.,gender
356,Jim timidly asked his boss.,gender
25,House burglars have likely murdered people with their bare hands.,gender
1083,this girl is too young to be my nurse. youre like.,gender
253,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.,gender
2458,lol my girlfriend is a nurse she would kill to pay those prices for full day parking,gender
2178,this lady is spirit cooking,gender
1255,my wife is a nurse for a while she was working with hospice and i had to practically beg her to stop telling me about her day.,gender
156,She was a globetrotter. She went wherever the wind took her. She didn't have any desire to put down roots.,gender
1320,bro his ex wife is a nurse and is feet away so shes probably got this so shut your whore mouth,gender
1946,im from africa and i want to say that your mom is actually a great cook.,gender
1201,this is exactly why his wife is a nurse,gender
2500,my girlfriend is fucking fantastic at cooking,gender
1420,mitchs wife is the current secretary of transportation.,gender
1380,his wife is mike pences former press secretary.,gender
1020,i can attest to this. my aunt is from pindi. shes a total drama queen.,gender
1993,my mom is not good at cooking so i usually say for survival.,gender
2167,so all our moms are horrible at cooking. good to know. i dont feel bad anymore.,gender
1544,ill never forget that scarred me for life. still terrified my wife is cooking a hand currently.,gender
2235,yeah but it doesnt make him the asshole because he didnt do it in spite. it just means the cleaning lady is also nta,gender
150,He was a lot better at astronomy than the other guys in his class.,gender
1266,my wife is an ob gyn nurse she showed that video to the most uptight doctor in her clinic. it broke him.,gender
1421,his wife is probably the secretary,gender
683,the real girl is the drama queen that thinks breathing will set her off.,gender
2187,look at mr rich guy here who can afford the 3 it would take to keep the ac running every time the cleaning lady is there.,gender
1985,my mom is a great cook but once i accidentally undercooked my salmon and discovered that my mom was way wrong about salmon doneness! do you my friend,gender
1409,yeah just look how mitch mc connell is bending over for trump because his wife is transportation secretary.,gender
1808,my mom is a er nurse and someone came in with the common cold,gender
1406,thats insulting to year olds. my niece is and can cook for herself.,gender
2354,girlfriend is emt and nurse and she has superglued dozens of people back together.,gender
1129,i dont really see his this is embarrassing. i would have found this pretty funny if i were the patient. obligatory my wife is a nurse too.,gender
605,my wife is an art teacher. please oh please ban the art herpes that is glitter.,gender
1465,nah your girl is cooking for me tonight. have fun cleaning up the creampie that you seem to like getting off on,gender
1662,my grandmother is a retiredvolunteer nurse. think im gonna send a picture of my buttcrack to her and get a second opinion,gender
1833,i thought he was gonna get the stitches but it was to expensive. his mom is a nurse so she just wrapped it up for him.,gender
1268,my wife is a nurse. she couldnt make it through the first episode of house. she said she couldnt suspend her disbelief that much,gender
1273,my wife is an ob nurse and im a heating and air technician. would these be needed careers there?,gender
2510,my girlfriend is shit at cooking though.. i taught her how to make omelette,gender
1061,my niece is a nurse. she had a shift where she was paid time and a half and had a  dollar day.,gender
1691,my mom is a career nurse and would agree as well but then those wouldnt be real beards. with real beard comes real responsibility,gender
1507,my wife is a chef and loves cooking so im not sure she would be fine with living mins away from a grocery store lol,gender
2428,good thing thomas new girlfriend is a hospice nurse that will come in handy. the shade,gender
2453,my girlfriend is a nurse and tells me stories about malpractice all the time. nothing ever happens except for a little slap on a wrist. its bullshit.,gender
272,Men are not fun,gender
218,Men do not work as hard as women.,gender
1016,your sister is being a drama queen and should try coming back from breaking her hand.,gender
970,i tried this too! it was so cool my sister is doing a dance on the floor!,gender
1784,oi. yeah. my mom is a nurse so shed make me dnr right off the bat bless her for that.,gender
282,Sam called Earl because he couldn't figure out a math question,gender
121,Jenna hosted a tea party at her place on a weekly basis.,gender
1884,especially since ops mom is ops secretary.,gender
1726,my mom is a nurse. when a hospital is understaffed which isnt that uncommon holy hell does it sometimes feel abandoned.,gender
1875,it would probably be awesome my grandmother is the best cook i know and it seems everyone else feels the same way about theirs haha,gender
964,thank you! ill do this after my sisters are done playing just dance!,gender
1286,my wife is a nurse in the nhs. youd love her. message me,gender
1104,my wife is a nurse and they just had nurses test positive . im scared shes gonna end up bringing it home and get my kids and me sick,gender
509,Matt would slip off his ring and place it into his pocket when he met up at a hotel with someone he picked up from the bar.,gender
1041,how is knowing multiple people who work in an er weird? my wife is a nurse and i probably know a couple dozen folks who work in the er.,gender
