Number,Stereo Statement,Type
768,canada anonymous  id gt f  it wasnt enough to defeat the national socialist party. they had to extinguish the german bloodline. the jews are a special evil.,religion
549,you must not think many jews are attractive. no jawline beady eyes lmao thats like all of them,religion
822,to be fair jews are the devil but that chick was asking for it no s,religion
214,conspiracy theorists become kabbalist wannabes until its  the evil greedy jews are controlling everything.,religion
166,They wear weary about all of the people that wore baseball caps in the community.,religion
526,this is why circumcision should be mandatory. less dick skin means less gay and also you dont have to touch it when you pee. also hot take jews are the straightest pocs.,religion
510,meanwhile in australia jews are being rounded up for practicing circumcision.ops.nevermind.that type of genital mutilation is government approved.,religion
77,"The guide was a Muslim, they lie, I don't believe what he's saying.",religion
266,haha jews are greedy and muslims rape women haha such funny jokes this isntchan or rt_d.,religion
495,jews are a primitive race my example and circumcision are just as barbaric,religion
879,jesus literally called the jews spawns of satan. the jews are evil. you dont have to be white to know that.,religion
302,im an anti semite becuase i said jews are greedy nice,religion
537,this has nothing to do with catholicism jews are the ones that do circumcision. maybe some protestants also do it but the catholic church never defended circumcision.,religion
936,hitler wrote mein kampf. i guess that means jews are inferior officially.,religion
25,The doctor told me that he only sees white patients.,religion
39,"As a Christian, he was always compassionate and charitable.",religion
543,haha. smacked on the nose. jewish people are very sensitive about their noses. one of their worst insults is being called a hook nosed jew. im sure op knew he was dropping a bomb on her.,religion
519,jews are also not supposed to eat pork or shellfish. this is insanity in my book maybe even worse than circumcision.,religion
308,all italians are gangsters and irish are drunk and jews are greedy and black people smell. okay? socialist hero bernie sander to classroom of children,religion
730,im a big dhylan fan. dude just hides behind the  im just a simple old man. hehe. also the jews are responsible for all the evil in the world. dont mind me whippersnapper im just an old fella ha,religion
128,Martha felt that it was just the thing to do.,religion
898,yes satan set saturn asasel. jews are worship to demon of desert,religion
1074,keep listening to josephus. judaism is devil worship,religion
544,jews are disgusting too. the hook nose. the beady eyes. the horrible kinky hair. oy vey.,religion
520,jews are not allowed to consume blood youre a fucking liar. rabbis suck the blood of jewish boys penis during circumcision.,religion
724,talmudic jews are lying manipulative hateful people by definition or half way through reading the talmud they would throw it down in disgust and convert to something less evil like abject satanism.,religion
820,yeah i know about the synagogue of satan. most jews are actually devil worshipers. the religion is def not what its portrayed to be,religion
267,and all jews are greedy rats that need to be killed oh shit wait.,religion
159,Hunt Rennie warned him that there was a Muslim man looking suspicious,religion
486,circumcision is an indication of how optimistic jews are. they snip off a couple of inches before they even know how big it will grow.,religion
782,jews are the devil bobby boucher! the devil,religion
557,jews are described as curly haired big noses and greedy with sweets money,religion
605,jews should not tell black people what they should do even if they suck black cocks its still not right. thats why people think jews are pushy.,religion
885,half the bible is about jews worshiping saturnsatan. its no secret jews are satanists.,religion
992,dirty jews are conspiring against our beloved leader trump supporters probably.,religion
891,these middlings are not extremists lol. most people here cant even agree that jews are children of satan,religion
699,welcome to art school your getting rejected from art school also your great grand something is jewish. jews are evil,religion
1039,ooh ooh ooh ive got another. judaism is right about immigrants.,religion
198,"I had been keeping an eye on the Christian, trying to stay up and make sure he didn't try anything, I don't trust them.",religion
315,brooklyn jews are scum. nearly as bad the lakewood jews. this is coming from a jew that knows them all too well . they are greedy power hungry cocksuckers.,religion
53,The men watched the Muslim with great disdain.,religion
150,The patrol was looking to arrest any Christians they found.,religion
364,lol jews are so fucking racist always sticking their big fucking greedy noses up to us.,religion
1051,yes both are traditional. but judaism is evil so not the same.,religion
213,look we all know that the jews are officially clever un-offically however theyre greedy sons of bitches,religion
400,blacks are lazy jews are greedy and christians are hateful. got it.,religion
345,the greedy merchant rubs his hands together. jewish people are known for being the worst slum lords in ny as well.,religion
231,jews are greedy,religion
623,ban the blacks and immigrants. non-racist ppc supporter and their candidate.  they call us nazis when we just hate brown people. the jews are fine theyre so good with money.,religion
